Polynomial Length, Time Took
2, 60.9
4, 109.4
8, 215.667
16, 427.467
32, 843.267
64, 1672.9
128, 3380.23
256, 6872.6
512, 13899.5
1024, 27776.8
2048, 54591.8
4096, 110204
8192, 218821
16384, 459029
32768, 917172
65536, 1.81729e+06
131072, 3.70797e+06
262144, 7.80229e+06
524288, 1.57738e+07
1048576, 3.17675e+07
